"Species","Agriculture","Forestry","Fisheries","Health","ispathogen"
"infectious pancreatic necrosis virus","exclude","exclude","exclude","exclude","exclude"
"Agrostis avenacea","Negative",NA,NA,NA,"N"
"Clidemia hirta","Negative","Negative","None, None","None","N"
"Sitophilus oryzae",NA,NA,NA,NA,"N"
"Dieffenbachia seguine","Negative","Negative",NA,"Negative","N"
"Digitaria ciliaris","Negative","Positive","Positive, Positive","Positive","Y"
"Digitaria sanguinalis","Negative",NA,NA,NA,"Y"
"Crassocephalum crepidioides",NA,NA,NA,"Positive","N"
"Buddleja davidii",NA,"Negative",NA,NA,"Y"
"Buddleja asiatica","Negative",NA,NA,NA,"Y"
"Buddleja madagascariensis","Negative",NA,NA,"Negative","N"
"Rhinella marina","Negative",NA,NA,"Negative","N"
"Citrus leprosis virus C","exclude","exclude","exclude","exclude","exclude"
"Cinchona pubescens",NA,"Negative","None, None","Positive","Y"
"Liberibacter asiaticus","exclude","exclude","exclude","exclude","exclude"
"citrus huanglongbing (greening) disease","exclude","exclude","exclude","exclude","exclude"
"Coriandrum sativum",NA,NA,NA,NA,"Y"
"Clavibacter michiganensis subsp. michiganensis","exclude","exclude","exclude","exclude","exclude"
"Clavibacter michiganensis subsp. sepedonicus","exclude","exclude","exclude","exclude","exclude"
"Desmostachya bipinnata","Negative",NA,NA,"Positive","Y"
"Cyrtomium falcatum",NA,NA,NA,NA,"N"
"Colocasia esculenta",NA,NA,NA,NA,"N"
"Cyathea cooperi",NA,NA,NA,NA,"N"
"Cardiospermum halicacabum","Negative","Negative",NA,"Positive and negative","N"
"Moniliophthora perniciosa",NA,NA,NA,NA,"Y"
"Sphaeropsis sapinea",NA,NA,NA,NA,"Y"
"Diprion similis",NA,"Negative, Negative","None, None, None, None","None, None","N"
"Trypanosoma evansi","exclude","exclude","exclude","exclude","exclude"
"spring viraemia of carp virus","exclude","exclude","exclude","exclude","exclude"
"piscirickettsiosis",NA,NA,"Negative, Negative",NA,"N"
"Python bivittatus","Negative",NA,NA,"Negative","N"
"Streptopelia decaocto","Negative",NA,NA,"Negative","N"
"Quelea quelea","Negative",NA,NA,"Positive","N"
"Rachycentron canadum",NA,NA,NA,NA,"N"
"Theileria orientalis/Theileria buffeli infections",NA,NA,NA,NA,"N"
"Theileria annulata infections",NA,NA,NA,NA,"N"
"Theileria parva infections",NA,NA,NA,NA,"N"
"Polypogon monspeliensis","Negative",NA,NA,NA,"N"
"Plasmodium relictum","exclude","exclude","exclude","exclude","exclude"
"Discus rotundatus",NA,NA,NA,NA,"Y"
"Thecaphora frezii","Negative",NA,NA,NA,"Y"
"Dysphania ambrosioides","Negative",NA,NA,"Positive and negative","N"
"Echinochloa pyramidalis","Negative",NA,"Negative",NA,"N"
"Echinocystis lobata",NA,NA,NA,"Positive and negative","Y"
"Boa imperator",NA,NA,NA,NA,"N"
"Nymphaea lotus","Negative",NA,NA,NA,"Y"
"Bothriochloa ischaemum","Negative",NA,NA,NA,"Y"
"Bothriochloa pertusa",NA,NA,NA,NA,"Y"
"Moorochloa eruciformis","Negative",NA,NA,NA,"N"
"Brachypodium distachyon",NA,NA,NA,NA,"N"
"Oeceoclades maculata",NA,NA,NA,NA,"Y"
"Breynia disticha",NA,NA,NA,"Positive","N"
"Briza maxima",NA,NA,NA,NA,"N"
"Acanthospermum australe","Negative",NA,NA,"Positive","Y"
"Rubus rosifolius",NA,NA,NA,"Positive and negative","N"
"Rubus argutus",NA,"Negative",NA,"Positive","Y"
"Andropogon glomeratus",NA,NA,NA,NA,"Y"
"Aromia bungii","Negative",NA,NA,NA,"Y"
"Turbina corymbosa","Negative",NA,NA,"Positive and negative","Y"
"Ulva reticulata",NA,NA,"Negative",NA,"N"
"Utricularia gibba",NA,NA,NA,NA,"N"
"Hedychium coccineum",NA,"Negative",NA,NA,"Y"
"Ventenata dubia","Negative","Negative",NA,NA,"N"
"Verbena rigida",NA,NA,NA,NA,"N"
"Lilioceris lilii","Negative","None","None, None","None","N"
"Limax maximus","Negative",NA,NA,"Negative","Y"
"Linaria dalmatica","Negative","Negative","None, None","None","N"
"Linaria vulgaris","Negative","None","None, None","None","Y"
"Linepithema humile","Negative","Negative",NA,NA,"N"
"Solanum capsicoides","Negative",NA,NA,"Negative","N"
"Solanum mammosum","Negative",NA,NA,"Negative","N"
"Sonchus asper","Negative",NA,NA,NA,"N"
"Lindernia crustacea","Negative",NA,NA,NA,"N"
"Tradescantia zebrina",NA,"Negative",NA,NA,"N"
"Elatobium abietinum",NA,"Negative, Negative",NA,NA,"Y"
"Corella eumyota",NA,NA,"Negative",NA,"N"
"Pontogammarus robustoides",NA,NA,NA,NA,"N"
"Mytilopsis sallei",NA,NA,"Negative",NA,"N"
"Dipsacus fullonum",NA,NA,NA,NA,"Y"
"Marrubium vulgare","Negative",NA,NA,NA,"N"
"Chondrilla juncea",NA,NA,NA,NA,"Y"
"Cosmos sulphureus",NA,NA,NA,"Positive","N"
"Miconia calvescens","Negative","Negative",NA,NA,"Y"
"Prunella vulgaris",NA,NA,NA,NA,"N"
"Sus scrofa [ISC]","Negative",NA,NA,"Negative","Y"
"Amaranthus tuberculatus","Negative",NA,NA,"Negative","Y"
"Amatitlania nigrofasciata",NA,NA,NA,NA,"N"
"Neodiprion sertifer",NA,NA,NA,NA,"Y"
"Macaranga tanarius",NA,NA,NA,NA,"N"
"Paropsis charybdis",NA,"Negative, Negative","None, None, None, None","None, None","N"
"Anolis extremus",NA,NA,NA,NA,"N"
"Paspalum distichum","Negative",NA,NA,NA,"Y"
"Paspalum dilatatum","Negative",NA,NA,NA,"N"
"Cydalima perspectalis",NA,NA,NA,NA,"N"
"Anredera cordifolia",NA,"Negative",NA,NA,"N"
"Opuntia aurantiaca",NA,"None","None, None","None","Y"
"Epilobium ciliatum",NA,NA,NA,NA,"N"
"Opuntia ficus-indica","Negative","None","None, None","Positive","N"
"Opuntia stricta","Negative","None","None, None","None","N"
"Lysichiton americanus",NA,NA,NA,NA,"N"
"Oracella acuta",NA,"Negative",NA,"Negative","N"
"Orobanche cernua","Negative",NA,NA,NA,"Y"
"Orobanche crenata",NA,NA,NA,NA,"Y"
"Orobanche cumana","Negative",NA,NA,NA,"Y"
"Orobanche minor","Negative","None","None, None","None","Y"
"Orobanche ramosa","Negative",NA,NA,NA,"Y"
"Momordica charantia",NA,NA,NA,NA,"N"
"Eragrostis lehmanniana","Negative",NA,NA,"Positive","N"
"Eragrostis plana","Negative",NA,NA,NA,"N"
"Erechtites hieraciifolius","Negative",NA,NA,NA,"Y"
"Erechtites valerianifolius","Negative",NA,NA,NA,"N"
"Rhaponticum repens","Negative","None","None, None","None","Y"
"Lepidium virginicum","Negative",NA,NA,"Positive","N"
"Acridotheres tristis","Negative",NA,NA,"Negative","N"
"Leptinotarsa decemlineata",NA,NA,NA,NA,"Y"
"Merremia umbellata","Negative","Negative",NA,"Positive","Y"
"Omorgus suberosus",NA,NA,NA,NA,"N"
"Ampelopsis arborea",NA,NA,NA,"Negative","N"
"Atriplex semibaccata",NA,NA,NA,NA,"N"
"Ammophila arenaria",NA,NA,NA,NA,"Y"
"Pandanus tectorius",NA,NA,NA,"Positive","N"
"Paederia foetida","Negative","Negative",NA,"Positive","Y"
"Diuraphis noxia",NA,"Negative","Negative, Negative","Negative","Y"
"Brachypodium sylvaticum",NA,"Negative",NA,NA,"Y"
"Mimosa diplotricha","Negative","Negative","None, None","Negative","Y"
"Mimosa pigra","Negative","None","Negative, Negative","None","N"
"Acacia saligna",NA,NA,NA,NA,"Y"
"Exomala orientalis",NA,"Negative","None, None","None","Y"
"Acacia glauca",NA,NA,NA,NA,"N"
"Acanthospermum hispidum","Negative","None","None, None","Negative","N"
"Bauhinia monandra",NA,NA,NA,"Positive and negative","N"
"Anoplophora chinensis",NA,NA,NA,NA,"Y"
"Anoplophora glabripennis",NA,NA,NA,NA,"N"
"Bauhinia purpurea",NA,NA,NA,NA,"N"
"Anoplolepis gracilipes","Negative","Negative",NA,"Negative","N"
"Paulownia tomentosa",NA,NA,NA,NA,"Y"
"Asparagus setaceus",NA,NA,NA,"Positive and negative","N"
"Asparagus densiflorus",NA,"Negative",NA,NA,"N"
"Aspidiotus destructor",NA,NA,NA,NA,"N"
"Alopecurus myosuroides","Negative",NA,NA,NA,"N"
"Alopecurus pratensis",NA,NA,NA,NA,"Y"
"Aphis gossypii",NA,"None","None, None","None","Y"
"Gymnocephalus cernuus",NA,NA,"Negative",NA,"N"
"Aphis spiraecola",NA,"None","None, None","None","N"
"Amorpha fruticosa",NA,NA,NA,NA,"N"
"Azolla filiculoides","Negative","None","Negative, Negative","Negative","N"
"fibropapillomatosis of sea turtles",NA,NA,NA,NA,"N"
"Azolla pinnata","Negative","Negative","Negative, Negative","None","Y"
"Asparagus asparagoides","Negative","Negative",NA,"Positive","Y"
"Maize dwarf mosaic virus","exclude","exclude","exclude","exclude","exclude"
"Baccharis halimifolia","Negative","None","None, None","None","N"
"Deroceras laeve","Negative",NA,NA,"Negative","N"
"Deroceras reticulatum",NA,NA,NA,NA,"N"
"Garrulax canorus",NA,NA,NA,NA,"N"
"Chrysemys picta","Negative",NA,NA,NA,"N"
"Dreissena polymorpha",NA,NA,"Negative","Negative","N"
"Equus asinus",NA,NA,NA,NA,"N"
"Channa argus argus","Negative",NA,"Negative","Negative","N"
"Sepedon aenescens",NA,NA,NA,NA,"N"
"Spergula arvensis",NA,NA,NA,NA,"N"
"Tilletia controversa",NA,NA,NA,NA,"Y"
"Taraxacum officinale complex","Negative","Negative","None, None","Negative","Y"
"Hypothenemus hampei","Negative",NA,NA,NA,"Y"
"Trialeurodes vaporariorum",NA,NA,NA,NA,"Y"
"Silybum marianum","Negative",NA,NA,"Negative","N"
"Viteus vitifoliae",NA,"None","None, None","None","N"
"Vitex rotundifolia",NA,NA,NA,"Positive","N"
"Turnera ulmifolia",NA,NA,NA,NA,"N"
"Siphoninus phillyreae",NA,NA,NA,NA,"N"
"Spodoptera littoralis",NA,NA,NA,NA,"Y"
"Tomicus piniperda",NA,NA,NA,NA,"Y"
"Xylosandrus compactus",NA,"Negative","None, None","None","Y"
"Xylosandrus crassiusculus",NA,"Negative","None, None","None","Y"
"Xylosandrus germanus",NA,"Negative","None, None","None","Y"
"Toona ciliata",NA,NA,NA,NA,"Y"
"Gunnera tinctoria",NA,NA,NA,NA,"N"
"Chytridiomycosis",NA,NA,NA,NA,"Y"
"Alpinia zerumbet",NA,NA,NA,NA,"N"
"Eucalyptus robusta",NA,NA,NA,"Positive and negative","N"
"Eragrostis japonica","Negative",NA,NA,NA,"N"
"Gibberella indica",NA,NA,NA,NA,"Y"
"Gaultheria shallon","Negative","Negative",NA,NA,"N"
"Galium aparine",NA,NA,NA,NA,"N"
"Hyptis brevipes","Negative",NA,NA,NA,"N"
"Hypochaeris radicata",NA,NA,NA,NA,"Y"
"East African cassava mosaic virus","exclude","exclude","exclude","exclude","exclude"
"Lagerstroemia speciosa",NA,NA,NA,NA,"N"
"Hemiberlesia lataniae",NA,NA,NA,NA,"Y"
"Lamium amplexicaule","Negative","Negative","None, None","None","N"
"Desmodium incanum","Negative",NA,NA,NA,"Y"
"Hymenachne amplexicaulis","Negative",NA,"Negative","Negative","N"
"Hedychium coronarium","Negative","Negative","None, None","None","Y"
"Hedychium gardnerianum",NA,"Negative",NA,NA,"Y"
"Hedera helix","Negative","None","None, None","Negative","N"
"Lantana camara","Negative","Negative","None, None","Negative","Y"
"Drosophila suzukii",NA,NA,NA,"None","Y"
"Triphasia trifolia",NA,NA,NA,NA,"N"
"Hemimysis anomala",NA,NA,NA,NA,"N"
"Gmelina arborea",NA,NA,NA,"Positive","Y"
"Imperata cylindrica","Negative","Negative","None, None","None","Y"
"Ardisia elliptica",NA,"Negative",NA,NA,"N"
"Hymenoscyphus fraxineus",NA,NA,NA,NA,"Y"
"Cryphonectria parasitica",NA,NA,NA,NA,"Y"
"Flemingia macrophylla",NA,NA,NA,NA,"N"
"Flemingia strobilifera",NA,NA,NA,"Positive","N"
"Hakea sericea","Negative","None","None, None","None","N"
"Hylocereus undatus",NA,NA,NA,"Positive","N"
"Foeniculum vulgare",NA,NA,NA,NA,"Y"
"Halyomorpha halys","Negative",NA,NA,"Negative","N"
"Jacaranda mimosifolia",NA,NA,NA,NA,"N"
"Guignardia citricarpa",NA,NA,NA,NA,"Y"
"Eugenia uniflora",NA,NA,NA,"Positive","N"
"Grapevine flavescence doree phytoplasma","exclude","exclude","exclude","exclude","exclude"
"Grapevine virus A","exclude","exclude","exclude","exclude","exclude"
"Caulerpa taxifolia",NA,NA,NA,NA,"N"
"Hydrocotyle ranunculoides",NA,"None","Negative, Negative","None","N"
"paratuberculosis",NA,NA,NA,NA,"N"
"Nairobi sheep disease",NA,NA,NA,NA,"N"
"Odocoileus hemionus",NA,"Negative",NA,NA,"N"
"Odontesthes bonariensis",NA,NA,NA,"Positive","N"
"Paralithodes camtschaticus",NA,NA,NA,NA,"N"
"Phalaris aquatica",NA,NA,NA,NA,"Y"
"Homarus americanus",NA,NA,NA,NA,"N"
"Lepus europaeus","Negative","Negative",NA,"Positive and negative","N"
"Penaeus monodon",NA,NA,"Negative",NA,"N"
"Litopenaeus vannamei",NA,NA,"Negative",NA,"N"
"Ictalurus punctatus",NA,NA,"Positive, Positive",NA,"N"
"Herichthys cyanoguttatus",NA,NA,NA,NA,"N"
"Chrysomya bezziana infestation",NA,NA,NA,NA,"N"
"Batrachochytrium salamandrivorans infection",NA,NA,NA,NA,"Y"
"Gonaxis kibweziensis",NA,NA,NA,NA,"N"
"Sepedomerus macropus",NA,NA,NA,NA,"N"
"Veronicella cubensis","Negative","Negative",NA,"Negative","Y"
"Phytophthora alni species complex",NA,"Negative",NA,NA,"Y"
"Phytophthora colocasiae",NA,NA,NA,NA,"Y"
"Phytophthora cambivora",NA,"Negative, Negative","None, None, None, None","None, None","Y"
"Phytophthora cinnamomi","Negative","Negative",NA,NA,"Y"
"Phytophthora infestans",NA,NA,NA,NA,"Y"
"Phytophthora lateralis",NA,"Negative",NA,NA,"Y"
"Phytophthora medicaginis",NA,"None","None, None","None","Y"
"Phytophthora ramorum",NA,NA,NA,NA,"Y"
"Pueraria montana var. lobata","Negative","Negative",NA,NA,"Y"
"Pueraria phaseoloides",NA,NA,NA,NA,"N"
"Papaya ringspot virus","exclude","exclude","exclude","exclude","exclude"
"Pinus elliottii",NA,NA,NA,NA,"N"
"Pinus halepensis","Negative","None","None, None","None","Y"
"Paratrechina longicornis",NA,NA,NA,NA,"N"
"Rosa multiflora",NA,"Negative",NA,NA,"Y"
"Pinus pinaster",NA,"None","None, None","None","Y"
"Rosa rugosa","Negative",NA,NA,"Positive","Y"
"Pinus radiata",NA,"None","None, None","None","Y"
"Polygonum arenastrum","Negative",NA,NA,NA,"Y"
"Phomopsis vexans","Negative",NA,NA,NA,"Y"
"Combretum indicum",NA,NA,NA,"Negative","N"
"Popillia japonica","Negative",NA,NA,NA,"Y"
"Sesamia cretica",NA,NA,NA,"Negative","N"
"Sesamia grisescens",NA,"None","None, None","None","Y"
"Radopholus similis","exclude","exclude","exclude","exclude","exclude"
"Raffaelea quercivora",NA,"Negative",NA,"Negative","Y"
"Setaria parviflora","Negative",NA,NA,NA,"N"
"Setaria verticillata","Negative",NA,NA,NA,"N"
"Plutella xylostella","Negative",NA,NA,NA,"Y"
"Pterocarpus indicus",NA,NA,NA,"Positive","N"
"Platydemus manokwari",NA,"None","None, None","Negative","N"
"Pimenta dioica",NA,NA,NA,NA,"Y"
"Salix cinerea",NA,NA,NA,NA,"N"
"Pieris brassicae",NA,NA,NA,NA,"Y"
"Pithecellobium dulce","Negative","None","None, None","Negative","N"
"Prunus campanulata",NA,NA,NA,NA,"N"
"Ostrinia nubilalis",NA,NA,NA,NA,"N"
"Scolytus schevyrewi",NA,NA,NA,NA,"Y"
"Scolytus intricatus",NA,NA,NA,NA,"Y"
"Sclerophthora rayssiae var. zeae","Negative",NA,NA,NA,"Y"
"Tuta absoluta",NA,NA,NA,NA,"Y"
"Rudbeckia laciniata",NA,NA,NA,NA,"N"
"Rumex acetosella","Negative",NA,NA,NA,"N"
"Rumex crispus",NA,NA,NA,NA,"Y"
"bluetongue",NA,NA,NA,NA,"N"
"Boiga irregularis","Negative",NA,NA,"Negative","N"
"Bombus terrestris",NA,NA,NA,NA,"N"
"Coccinella septempunctata",NA,NA,NA,"Negative","Y"
"Conium maculatum","Negative",NA,NA,"Negative","Y"
"Cochliomyia hominivorax","Negative",NA,NA,"Negative","N"
"Cocos nucifera",NA,NA,NA,"Positive and negative","Y"
"Colletotrichum acutatum",NA,NA,NA,NA,"Y"
"Barley yellow dwarf viruses","exclude","exclude","exclude","exclude","exclude"
"Cirsium arvense","Negative","None","None, None","None","Y"
"Cirsium vulgare","Negative","Negative","None, None","Negative","Y"
"Casuarina cunninghamiana",NA,"None","None, None","Negative","Y"
"Casuarina equisetifolia",NA,"None","None, None","Negative","N"
"Casuarina glauca",NA,"None","None, None","Negative","N"
"Ctenarytaina eucalypti",NA,"Negative, Negative","None, None, None, None","None, None","N"
"Crupina vulgaris","Negative","None","None, None","None","N"
"Ctenopharyngodon idella","Negative",NA,"Positive, Positive","Positive","N"
"Dreyfusia nordmannianae",NA,"Negative",NA,NA,"N"
"Ceutorhynchus obstrictus",NA,"None","None, None","None","Y"
"Diaphorina citri",NA,NA,NA,NA,"N"
"Diabrotica virgifera virgifera",NA,"None","None, None","None","Y"
"Dialeurodes citri",NA,NA,NA,NA,"N"
"Capsella bursa-pastoris",NA,NA,NA,"Positive","Y"
"Carduus nutans","Negative","None","None, None","None","N"
"Clerodendrum indicum",NA,NA,NA,NA,"N"
"Carduus pycnocephalus","Negative",NA,NA,NA,"Y"
"Cynodon dactylon","Negative","None","None, None","Negative","Y"
"Cyperus difformis","Negative",NA,NA,NA,"N"
"Cyperus esculentus","Negative",NA,NA,NA,"Y"
"Broussonetia papyrifera",NA,"None","None, None","Negative","N"
"Bromus hordeaceus","Negative",NA,NA,NA,"Y"
"Bromus japonicus","Negative",NA,NA,NA,"N"
"Bromus madritensis","Negative","None","None, None","None","N"
"Bromus rigidus","Negative","None","None, None","None","N"
"Bromus rubens","Negative","None","None, None","None","N"
"Bromus secalinus","Negative",NA,NA,NA,"Y"
"Bromus sterilis","Negative","None","None, None","None","Y"
"Bromus tectorum","Negative","Negative","None, None","Negative","Y"
"Chrysanthemoides monilifera",NA,"None","None, None","None","N"
"Brontispa longissima",NA,NA,NA,NA,"Y"
"Ceratophyllum demersum",NA,NA,"Negative",NA,"Y"
"Bruchophagus roddi",NA,"None","None, None","None","N"
"Brassica nigra","Negative",NA,NA,NA,"Y"
"Dactyloctenium aegyptium","Negative","None",NA,"None","N"
"Corythucha ciliata",NA,NA,NA,NA,"N"
"Dichrostachys cinerea","Negative","Negative","None, None","Positive","N"
"turkey rhinotracheitis",NA,NA,NA,NA,"N"
"Sciaenops ocellatus",NA,NA,NA,NA,"N"
"Sciurus aberti",NA,"Negative",NA,NA,"Y"
"Sciurus niger",NA,NA,NA,NA,"Y"
"Ruditapes philippinarum",NA,NA,"Positive, Positive",NA,"N"
"Procyon lotor","Negative",NA,"Negative","Negative","N"
"Procambarus clarkii",NA,NA,NA,"Negative","N"
"Rana catesbeiana",NA,NA,"Negative",NA,"Y"
"Rapana venosa",NA,NA,"Negative","None","N"
"Pomoxis annularis",NA,NA,NA,NA,"N"
"Pomoxis nigromaculatus",NA,NA,NA,NA,"N"
"brucellosis (Brucella suis)",NA,NA,NA,NA,"N"
"porcine epidemic diarrhoea",NA,NA,NA,NA,"N"
"porcine reproductive and respiratory syndrome",NA,NA,NA,NA,"N"
"Tilapia zillii",NA,NA,NA,NA,"N"
"Siganus luridus",NA,NA,NA,"Negative","N"
"Siganus rivulatus",NA,NA,NA,"Negative","N"
"Silurus glanis",NA,NA,NA,NA,"N"
"rinderpest",NA,NA,NA,NA,"N"
"Cardiospermum grandiflorum",NA,NA,NA,NA,"N"
"Carex kobomugi",NA,NA,NA,NA,"Y"
"Holcus lanatus","Negative",NA,NA,NA,"Y"
"Crypsis schoenoides",NA,NA,NA,NA,"N"
"Hemiculter leucisculus",NA,NA,"Negative",NA,"N"
"Perccottus glenii",NA,NA,"Negative",NA,"N"
"Melinis repens","Negative",NA,NA,NA,"Y"
"Rivina humilis",NA,"Negative",NA,"Negative","Y"
"Leptochloa fusca",NA,NA,NA,NA,"N"
"Merremia aegyptia","Negative",NA,NA,NA,"N"
"Merremia cissoides","Negative",NA,NA,NA,"N"
"Cryptostegia madagascariensis","Negative","Negative","Negative","Negative","N"
"Sida linifolia","Negative",NA,NA,"Positive","Y"
"Cuphea carthagenensis","Negative",NA,NA,"Positive","Y"
"Sporobolus tenuissimus",NA,NA,NA,"Positive","N"
"Thunbergia fragrans",NA,NA,NA,NA,"N"
"Nopalea cochenillifera",NA,NA,NA,NA,"Y"
"Rubus armeniacus","Negative","Negative",NA,NA,"Y"
"Argemone ochroleuca",NA,NA,NA,NA,"N"
"Artemisia biennis","Negative",NA,NA,"Negative","Y"
"Arthraxon hispidus",NA,NA,NA,NA,"N"
"Melinis minutiflora","Negative","Negative","None, None","None","Y"
"Mentha pulegium","Negative",NA,NA,NA,"N"
"Lupinus polyphyllus",NA,NA,NA,NA,"N"
"Morus nigra",NA,NA,NA,NA,"Y"
"Morinda citrifolia",NA,NA,NA,NA,"Y"
"Lygodium japonicum","Negative","Negative",NA,NA,"N"
"Insignorthezia insignis",NA,NA,NA,NA,"N"
"Taeniatherum caput-medusae","Negative",NA,NA,NA,"Y"
"Moringa oleifera",NA,NA,NA,"Positive","Y"
"Orthotomicus erosus",NA,NA,NA,NA,"Y"
"Oryza rufipogon",NA,NA,NA,NA,"N"
"Oryctes rhinoceros",NA,NA,NA,NA,"Y"
"Lagarosiphon major",NA,NA,"Negative",NA,"N"
"Ceratocephala testiculata","Negative",NA,NA,"Positive and negative","Y"
"Pennisetum setaceum",NA,"Negative",NA,NA,"Y"
"Melilotus albus","Negative",NA,NA,NA,"Y"
"Melilotus officinalis","Negative",NA,NA,NA,"N"
"Equus caballus [ISC]","Negative",NA,NA,NA,"N"
"Arundo donax","Negative","None","Negative","None","Y"
"Abelmoschus moschatus",NA,NA,NA,"Positive","N"
"Abrus precatorius","Negative",NA,NA,"Negative","N"
"Abutilon indicum","Negative",NA,NA,"Positive","Y"
"Abutilon theophrasti","Negative","None","None, None","None","Y"
"Jasminum multiflorum",NA,NA,NA,NA,"Y"
"Juncus ensifolius",NA,NA,NA,"Positive","Y"
"Juncus planifolius",NA,NA,NA,NA,"N"
"Juncus tenuis",NA,NA,NA,NA,"N"
"Candidatus Phytoplasma palmae","exclude","exclude","exclude","exclude","exclude"
"Kalanchoe delagoensis","Negative",NA,NA,NA,"N"
"Megathyrsus maximus","Negative","Negative","None, None","Negative","Y"
"Panicum repens","Negative","None","Negative, Negative","None","Y"
"Candidatus Phytoplasma phoenicium","exclude","exclude","exclude","exclude","exclude"
"Agrotis ipsilon",NA,"Negative","None, None","None","Y"
"Argyreia nervosa",NA,NA,NA,"Negative","N"
"Agrostis capillaris",NA,"Negative",NA,"Negative","Y"
"Agave americana",NA,NA,NA,"Negative","N"
"Agave sisalana",NA,NA,NA,"Positive","Y"
"Ailanthus altissima","Negative","None","None, None","Negative","Y"
"Arion vulgaris","Negative",NA,NA,NA,"N"
"Arracacia xanthorrhiza",NA,NA,NA,NA,"Y"
"Melaleuca quinquenervia",NA,"None","None, None","Negative","Y"
"Onopordum acanthium","Negative","None","None, None","None","N"
"Achillea millefolium","Negative",NA,NA,"Positive","N"
"Achatina fulica","Negative","None","None, None","Negative","Y"
"Berberis thunbergii","Negative","Negative","None, None","Negative","N"
"Anthonomus grandis",NA,"None","None, None","None","Y"
"Achyranthes aspera","Negative","None","None, None","None","Y"
"Lachnellula willkommii",NA,NA,NA,NA,"Y"
"Acidovorax citrulli","exclude","exclude","exclude","exclude","exclude"
"Melia azedarach","Negative","None","None, None","Negative","Y"
"Silene latifolia subsp. alba","Negative",NA,NA,NA,"N"
"Melicoccus bijugatus",NA,NA,NA,NA,"N"
"Nezara viridula",NA,NA,NA,NA,"Y"
"Alternaria japonica","Negative",NA,NA,NA,"Y"
"Trichoconiella padwickii","Negative",NA,NA,NA,"Y"
"Alternaria triticina","Negative",NA,NA,NA,"Y"
"Aleurothrixus floccosus",NA,NA,NA,NA,"N"
"Candidatus Phytoplasma asteris","exclude","exclude","exclude","exclude","exclude"
"Alnus glutinosa",NA,"None","None, None","None","Y"
"Oxalis corniculata",NA,NA,NA,"Positive","N"
"Adenostoma fasciculatum",NA,NA,NA,NA,"N"
"Acacia auriculiformis",NA,NA,NA,"Positive","Y"
"Acacia crassicarpa",NA,NA,NA,NA,"Y"
"Andropogon virginicus","Negative",NA,NA,NA,"Y"
"Bambusa vulgaris",NA,NA,NA,NA,"N"
"Bambusa bambos",NA,NA,NA,NA,"N"
"Albizia julibrissin",NA,"None","None, None","None","Y"
"Albizia lebbeck","Negative",NA,NA,NA,"Y"
"Albizia procera","Negative","None","None, None","None","N"
"Albizia saman",NA,"None","None, None","None","N"
"Piaractus brachypomus",NA,"Positive","Positive, Positive",NA,"N"
"Eleutherodactylus planirostris","Negative",NA,NA,NA,"N"
"Allamanda cathartica","Negative",NA,NA,"Negative","N"
"Ciona savignyi",NA,NA,"Negative",NA,"N"
"Ciona intestinalis",NA,NA,"Negative",NA,"N"
"chlamydial infections of livestock and poultry",NA,NA,NA,NA,"N"
"Tetragonia tetragonioides",NA,NA,NA,"Positive","N"
"Tecoma stans","Negative","None","None, None","Positive","N"
"Tecoma capensis",NA,NA,NA,"Positive","N"
"Sitobion miscanthi",NA,"None","None, None","None","N"
"Stenotaphrum secundatum",NA,NA,NA,NA,"Y"
"Striga gesnerioides",NA,NA,NA,NA,"N"
"Striga asiatica","Negative",NA,NA,NA,"Y"
"Solanum carolinense",NA,NA,NA,NA,"N"
"Solanum elaeagnifolium","Negative","None","None, None","None","N"
"Solanum mauritianum","Negative","Negative","None, None","Negative","N"
"Solanum quitoense",NA,NA,NA,NA,"N"
"Solanum rostratum","Negative",NA,NA,"Negative","N"
"Solanum seaforthianum","Negative",NA,NA,"Negative","N"
"Wasmannia auropunctata","Negative","Negative",NA,"Negative","N"
"Solanum tuberosum","Negative",NA,NA,"Positive and negative","N"
"Solanum viarum","Negative","Negative",NA,"Positive","N"
"Solenopsis geminata",NA,"None","None, None","Negative","N"
"Solenopsis invicta","Negative","Negative","Negative","Negative","N"
"Sphagneticola trilobata","Negative","Negative","None, None","Positive","N"
"Thunbergia alata",NA,NA,NA,NA,"N"
"Solidago gigantea","Negative","Negative","None, None","Negative","N"
"Sonchus arvensis",NA,NA,NA,NA,"N"
"Sonchus oleraceus","Negative",NA,NA,"Positive and negative","Y"
"Solidago canadensis","Negative","Negative","None, None",NA,"N"
"Syzygium cumini",NA,NA,NA,"Positive","Y"
"Tyto alba",NA,NA,NA,NA,"N"
"Syzygium grande",NA,NA,NA,"Positive","N"
"Syzygium jambos","Negative","None","None, None","None","N"
"Syzygium malaccense",NA,NA,NA,"Positive","N"
"Yucca aloifolia",NA,NA,NA,"Positive and negative","N"
"Tamarix aphylla","Negative","Negative","Negative, Negative","None","Y"
"Tamarix chinensis","Negative","Negative","Negative, Negative","Negative","N"
"Ulex europaeus",NA,"Negative","None, None","None","Y"
"Tapinoma melanocephalum","Negative",NA,NA,"Negative","N"
"Tradescantia fluminensis","Negative","None","None, None","None","Y"
"Simosyrphus grandicornis",NA,NA,NA,"None","N"
"Brassica tournefortii","Negative",NA,NA,NA,"N"
"Terminalia catappa",NA,NA,NA,NA,"Y"
"Trogoderma granarium",NA,NA,NA,NA,"N"
